NC Code,Distiller,Brand Name,Age,Proof,Size,Retail Price,MB Price
"20-006","Patron Spirits","Gran Patron Burdeos Anejo","001Y","80",".75L","499.9500","503.7000",
"20-011","Brown - Forman","Jack Daniel's Single Barrel - Ducks Unlimited","004Y","94",".75L","49.9500","53.7000",
"20-019","Heaven Hill","Lunazul Reposado w/ 4 shot GLS","","80",".75L","19.9500","23.7000",
"20-021","Sazerac","E.H.Taylor Jr. Whs. C Tornado Surviving Bourb","","100",".75L","71.3000","75.0500",
"20-047","Jim Beam Brands","Cruzan Coconut Rum w/ Hurricane GL","","42",".75L","11.9500","15.7000",
"20-048","Jim Beam Brands","Cruzan Black Cherry Rum w/ Hurricane GL","","42",".75L","11.9500","15.7000",
"20-049","White Rock","Raynal VSOP w/ Snifters","","80",".75L","14.9500","18.7000",
"20-067","Jim Beam Brands","Sauza Gold w/ 1.00L Margarita Mix","","80",".75L","16.9500","20.7000",
"20-068","Jim Beam Brands","Sauza Blanco w/ 1.00L Margarita Mix","","80",".75L","16.9500","20.7000",
"20-074","Jim Beam Brands","Jim Beam 4Y (PET) w/ Red Stag 50ML","004Y","80","1.75L","24.9500","33.7000",
"20-076","Firestarter Spirits","Firestarter Vodka","","80",".75L","21.9500","25.7000",
"20-115","Brown - Forman","Jack Daniel 's Birthday Pack w/ Cap","","80",".75L","24.9500","28.7000",
"20-123","Brown - Forman","Jack Daniel's Holiday Select 2011","","100",".75L","49.9500","53.7000",
"20-124","Brown - Forman","Jack Daniel's w/ 2 Mugs","","80","1.75L","43.9500","52.7000",
"20-136","Diageo NA","Capt. Morgan Spiced 70 w/ 50ml Rokk Vodka","","70","1.75L","27.9500","36.7000",
"20-150","Jim Beam Brands","Cruzan 9 w/ 2 liter Coca Cola","","80",".75L","15.9500","19.7000",
"20-152","Jim Beam Brands","Cruzan Light w/ Pina Colada Mix","","80",".75L","11.9500","15.7000",
"20-157","Diageo NA","Crown Royal w/ 50ML C. R. Black Tower Pk","","80",".75L","25.9500","29.7000",
"20-163","Proximo Spirits","1800 Reposado w/ Pomegranate Marg Mix","","80",".75L","29.9500","33.7000",
"20-164","Proximo Spirits","1800 Silver w/ Ultimate Pomegranate Marg. Mix","","80",".75L","29.9500","33.7000",
"20-180","Pernod Ricard","Avion (3.30 x 3)","","80","50ML","3.3000","3.5500",
"20-201","Diageo NA","Jose Cuervo Especial Gold w/ Marg Mix","","80",".75L","20.9500","24.7000",
"20-203","Brown - Forman","Gentleman Jack w/ Golf Balls","","80",".75L","29.9500","33.7000",
"20-204","Brown - Forman","Jack Daniel's w/2 Tall GLS","","80",".75L","24.9500","28.7000",
"20-205","Brown - Forman","Woodford Reserve Derby","","90.4","1.00L","39.9500","44.9500",
"20-222","Diageo NA","Crown Royal Black w/ GLS","","90",".75L","27.9500","31.7000",
"20-240","Campari America","Wild Turkey American Honey w/ Freezer Tap","","71",".75L","22.9500","26.7000",
"20-241","Campari America","Wild Turkey 81 w/ Camo Flask","006Y","81",".75L","21.9500","25.7000",
"20-289","Bacardi","Bacardi Superior (PET) w/ 2 50MLs","","80","1.75L","19.9500","28.7000",
"20-293","Bacardi","Dewar's 12Y Special Reserve w/ GLS","012Y","80",".75L","29.9500","33.7000",
"20-302","Jim Beam Brands","Knob Creek Barrel Program","009Y","100",".75L","33.9500","37.7000",
"20-308","Jim Beam Brands","Jim Beam Triage Pk","004Y","80",".75L","14.9500","18.7000",
"20-334","Bacardi","Cazadores Reposado w/ Shot GLS","","80",".75L","29.9500","33.7000",
"20-440","McCormick","Tequila Rose Valentine's 2012 Gift Set","","30",".75L","20.9500","24.7000",
"20-446","Diageo NA","Don Julio Tri-Pack (23.30 x 3)","","80",".375L","23.3000","25.1800",
